date,value
"2020-04-05",31
"2020-04-04",21
"2020-04-03",22
"2020-04-02",28
"2020-04-01",26
"2020-03-31",25
"2020-03-30",25
"2020-03-29",26
"2020-03-28",28
"2020-03-27",25
"2020-03-26",25
"2020-03-25",21
"2020-03-24",17
"2020-03-23",14
"2020-03-22",13
"2020-03-21",11
"2020-03-20",11
"2020-03-19",11
"2020-03-18",9
"2020-03-17",8
"2020-03-16",7
"2020-03-15",6
"2020-03-14",4
"2020-03-13",5
"2020-03-12",5
"2020-03-11",4
"2020-03-10",4
"2020-03-09",4
"2020-03-08",3
"2020-03-07",3
"2020-03-06",3
"2020-03-05",3
"2020-03-04",2
"2020-03-03",1
"2020-03-02",1
"2020-03-01",1
"2020-02-29",1
"2020-02-28",1
"2020-02-27",1
"2020-02-26",1
"2020-02-25",1
"2020-02-24",1
"2020-02-23",1
"2020-02-22",1
"2020-02-21",1
"2020-02-20",1
"2020-02-19",1
"2020-02-18",1
"2020-02-17",1
"2020-02-16",1
