date,value
"2020-03-29",-55
"2020-03-28",-72
"2020-03-27",-80
"2020-03-26",-56
"2020-03-25",-51
"2020-03-24",-41
"2020-03-23",-28
"2020-03-22",-30
"2020-03-21",-31
"2020-03-20",-36
"2020-03-19",-27
"2020-03-18",-20
"2020-03-17",-17
"2020-03-16",-13
"2020-03-15",-8
"2020-03-14",-10
"2020-03-13",-14
"2020-03-12",-11
"2020-03-11",-6
"2020-03-10",-4
"2020-03-09",-3
"2020-03-08",-1
"2020-03-07",-1
"2020-03-06",-5
"2020-03-05",-5
"2020-03-04",-2
"2020-03-03",-1
"2020-03-02",0
"2020-03-01",1
"2020-02-29",3
"2020-02-28",1
"2020-02-27",1
"2020-02-26",0
"2020-02-25",-2
"2020-02-24",-3
"2020-02-23",-2
"2020-02-22",-1
"2020-02-21",-2
"2020-02-20",-2
"2020-02-19",-2
"2020-02-18",-2
"2020-02-17",-2
"2020-02-16",-1
