date,value
"2020-03-29",-21
"2020-03-28",-20
"2020-03-27",4
"2020-03-26",1
"2020-03-25",0
"2020-03-24",0
"2020-03-23",6
"2020-03-22",9
"2020-03-21",-9
"2020-03-20",-2
"2020-03-19",3
"2020-03-18",6
"2020-03-17",6
"2020-03-16",12
"2020-03-15",12
"2020-03-14",5
"2020-03-13",6
"2020-03-12",1
"2020-03-11",-2
"2020-03-10",-1
"2020-03-09",-5
"2020-03-08",-1
"2020-03-07",7
"2020-03-06",7
"2020-03-05",8
"2020-03-04",5
"2020-03-03",5
"2020-03-02",7
"2020-03-01",8
"2020-02-29",7
"2020-02-28",2
"2020-02-27",3
"2020-02-26",2
"2020-02-25",5
"2020-02-24",6
"2020-02-23",12
"2020-02-22",6
"2020-02-21",6
"2020-02-20",9
"2020-02-19",3
"2020-02-18",3
"2020-02-17",5
"2020-02-16",11
