date,value
"2020-04-11",-50
"2020-04-10",-48
"2020-04-09",-51
"2020-04-08",-52
"2020-04-07",-47
"2020-04-06",-40
"2020-04-05",-36
"2020-04-04",-38
"2020-04-03",-32
"2020-04-02",-35
"2020-04-01",-38
"2020-03-31",-41
"2020-03-30",-39
"2020-03-29",-34
"2020-03-28",-32
"2020-03-27",-17
"2020-03-26",-22
"2020-03-25",-23
"2020-03-24",-19
"2020-03-23",-17
"2020-03-22",-15
"2020-03-21",-22
"2020-03-20",-20
"2020-03-19",-9
"2020-03-18",-6
"2020-03-17",-4
"2020-03-16",2
"2020-03-15",5
"2020-03-14",5
"2020-03-13",5
"2020-03-12",1
"2020-03-11",-1
"2020-03-10",4
"2020-03-09",-2
"2020-03-08",-1
"2020-03-07",5
"2020-03-06",4
"2020-03-05",4
"2020-03-04",2
"2020-03-03",2
"2020-03-02",8
"2020-03-01",9
"2020-02-29",8
"2020-02-28",4
"2020-02-27",4
"2020-02-26",3
"2020-02-25",5
"2020-02-24",9
"2020-02-23",8
"2020-02-22",7
"2020-02-21",7
"2020-02-20",6
"2020-02-19",4
"2020-02-18",0
"2020-02-17",9
"2020-02-16",9
