date,value
"2020-04-05",-38
"2020-04-04",-34
"2020-04-03",-13
"2020-04-02",-33
"2020-04-01",-37
"2020-03-31",-38
"2020-03-30",-37
"2020-03-29",-33
"2020-03-28",-27
"2020-03-27",-3
"2020-03-26",-10
"2020-03-25",-10
"2020-03-24",-6
"2020-03-23",-3
"2020-03-22",-5
"2020-03-21",-30
"2020-03-20",-13
"2020-03-19",-3
"2020-03-18",-1
"2020-03-17",1
"2020-03-16",1
"2020-03-15",2
"2020-03-14",3
"2020-03-13",4
"2020-03-12",5
"2020-03-11",4
"2020-03-10",5
"2020-03-09",-9
"2020-03-08",-7
"2020-03-07",7
"2020-03-06",8
"2020-03-05",9
"2020-03-04",9
"2020-03-03",8
"2020-03-02",8
"2020-03-01",8
"2020-02-29",8
"2020-02-28",6
"2020-02-27",6
"2020-02-26",7
"2020-02-25",6
"2020-02-24",7
"2020-02-23",7
"2020-02-22",6
"2020-02-21",6
"2020-02-20",6
"2020-02-19",6
"2020-02-18",5
"2020-02-17",6
"2020-02-16",5
