date,value
"2020-03-29",22
"2020-03-28",20
"2020-03-27",26
"2020-03-26",12
"2020-03-25",14
"2020-03-24",13
"2020-03-23",24
"2020-03-22",15
"2020-03-21",6
"2020-03-20",3
"2020-03-19",0
"2020-03-18",0
"2020-03-17",0
"2020-03-16",-1
"2020-03-15",1
"2020-03-14",2
"2020-03-13",0
"2020-03-12",-1
"2020-03-11",-2
"2020-03-10",-1
"2020-03-09",-1
"2020-03-08",-1
"2020-03-07",0
"2020-03-06",-1
"2020-03-05",-2
"2020-03-04",-2
"2020-03-03",-1
"2020-03-02",-1
"2020-03-01",-1
"2020-02-29",0
"2020-02-28",0
"2020-02-27",-1
"2020-02-26",-1
"2020-02-25",2
"2020-02-24",13
"2020-02-23",10
"2020-02-22",1
"2020-02-21",0
"2020-02-20",0
"2020-02-19",-1
"2020-02-18",1
"2020-02-17",-1
"2020-02-16",0
