date,value
"2020-04-11",-44
"2020-04-10",-65
"2020-04-09",-58
"2020-04-08",-61
"2020-04-07",-61
"2020-04-06",-59
"2020-04-05",-63
"2020-04-04",-56
"2020-04-03",-63
"2020-04-02",-61
"2020-04-01",-61
"2020-03-31",-61
"2020-03-30",-60
"2020-03-29",-57
"2020-03-28",-41
"2020-03-27",-52
"2020-03-26",-27
"2020-03-25",-39
"2020-03-24",-37
"2020-03-23",-50
"2020-03-22",-42
"2020-03-21",-14
"2020-03-20",-18
"2020-03-19",-8
"2020-03-18",-11
"2020-03-17",-16
"2020-03-16",-13
"2020-03-15",-9
"2020-03-14",-5
"2020-03-13",-8
"2020-03-12",-6
"2020-03-11",-8
"2020-03-10",-8
"2020-03-09",-6
"2020-03-08",-4
"2020-03-07",1
"2020-03-06",1
"2020-03-05",-2
"2020-03-04",-2
"2020-03-03",-2
"2020-03-02",1
"2020-03-01",4
"2020-02-29",5
"2020-02-28",3
"2020-02-27",-1
"2020-02-26",-4
"2020-02-25",-12
"2020-02-24",-27
"2020-02-23",-22
"2020-02-22",-6
"2020-02-21",3
"2020-02-20",0
"2020-02-19",-3
"2020-02-18",-6
"2020-02-17",-1
"2020-02-16",-3
