date,value
"2020-04-11",-84
"2020-04-10",-90
"2020-04-09",-83
"2020-04-08",-82
"2020-04-07",-82
"2020-04-06",-76
"2020-04-05",-83
"2020-04-04",-77
"2020-04-03",-77
"2020-04-02",-79
"2020-04-01",-79
"2020-03-31",-84
"2020-03-30",-82
"2020-03-29",-86
"2020-03-28",-82
"2020-03-27",-81
"2020-03-26",-83
"2020-03-25",-82
"2020-03-24",-87
"2020-03-23",-88
"2020-03-22",-87
"2020-03-21",-83
"2020-03-20",-79
"2020-03-19",-51
"2020-03-18",-43
"2020-03-17",-41
"2020-03-16",-31
"2020-03-15",-29
"2020-03-14",-22
"2020-03-13",-10
"2020-03-12",-4
"2020-03-11",-11
"2020-03-10",-5
"2020-03-09",2
"2020-03-08",2
"2020-03-07",4
"2020-03-06",6
"2020-03-05",4
"2020-03-04",0
"2020-03-03",-1
"2020-03-02",0
"2020-03-01",-1
"2020-02-29",0
"2020-02-28",4
"2020-02-27",2
"2020-02-26",0
"2020-02-25",-4
"2020-02-24",-18
"2020-02-23",-6
"2020-02-22",12
"2020-02-21",5
"2020-02-20",3
"2020-02-19",0
"2020-02-18",2
"2020-02-17",3
"2020-02-16",-10
