date,value
"2020-04-11",-67
"2020-04-10",-79
"2020-04-09",-67
"2020-04-08",-64
"2020-04-07",-64
"2020-04-06",-69
"2020-04-05",-76
"2020-04-04",-71
"2020-04-03",-71
"2020-04-02",-74
"2020-04-01",-75
"2020-03-31",-81
"2020-03-30",-78
"2020-03-29",-80
"2020-03-28",-76
"2020-03-27",-75
"2020-03-26",-77
"2020-03-25",-77
"2020-03-24",-84
"2020-03-23",-85
"2020-03-22",-82
"2020-03-21",-76
"2020-03-20",-73
"2020-03-19",-44
"2020-03-18",-35
"2020-03-17",-33
"2020-03-16",-21
"2020-03-15",-17
"2020-03-14",-19
"2020-03-13",-3
"2020-03-12",9
"2020-03-11",1
"2020-03-10",5
"2020-03-09",13
"2020-03-08",8
"2020-03-07",6
"2020-03-06",10
"2020-03-05",11
"2020-03-04",9
"2020-03-03",8
"2020-03-02",8
"2020-03-01",5
"2020-02-29",3
"2020-02-28",6
"2020-02-27",8
"2020-02-26",8
"2020-02-25",1
"2020-02-24",-28
"2020-02-23",-21
"2020-02-22",6
"2020-02-21",7
"2020-02-20",9
"2020-02-19",7
"2020-02-18",8
"2020-02-17",8
"2020-02-16",-2
