date,value
"2020-04-11",-52
"2020-04-10",-75
"2020-04-09",-64
"2020-04-08",-58
"2020-04-07",-59
"2020-04-06",-60
"2020-04-05",-52
"2020-04-04",-54
"2020-04-03",-62
"2020-04-02",-64
"2020-04-01",-64
"2020-03-31",-75
"2020-03-30",-69
"2020-03-29",-57
"2020-03-28",-59
"2020-03-27",-66
"2020-03-26",-68
"2020-03-25",-68
"2020-03-24",-78
"2020-03-23",-79
"2020-03-22",-61
"2020-03-21",-57
"2020-03-20",-60
"2020-03-19",-33
"2020-03-18",-20
"2020-03-17",-14
"2020-03-16",-3
"2020-03-15",-6
"2020-03-14",-6
"2020-03-13",10
"2020-03-12",18
"2020-03-11",16
"2020-03-10",17
"2020-03-09",16
"2020-03-08",6
"2020-03-07",0
"2020-03-06",10
"2020-03-05",18
"2020-03-04",18
"2020-03-03",17
"2020-03-02",16
"2020-03-01",10
"2020-02-29",-1
"2020-02-28",5
"2020-02-27",13
"2020-02-26",12
"2020-02-25",-2
"2020-02-24",-51
"2020-02-23",-44
"2020-02-22",-2
"2020-02-21",0
"2020-02-20",9
"2020-02-19",9
"2020-02-18",11
"2020-02-17",9
"2020-02-16",7
