date,value
"2020-04-05",-82
"2020-04-04",-82
"2020-04-03",-79
"2020-04-02",-77
"2020-04-01",-77
"2020-03-31",-77
"2020-03-30",-78
"2020-03-29",-87
"2020-03-28",-83
"2020-03-27",-80
"2020-03-26",-81
"2020-03-25",-81
"2020-03-24",-80
"2020-03-23",-80
"2020-03-22",-88
"2020-03-21",-88
"2020-03-20",-82
"2020-03-19",-80
"2020-03-18",-79
"2020-03-17",-79
"2020-03-16",-73
"2020-03-15",-63
"2020-03-14",-43
"2020-03-13",-26
"2020-03-12",-14
"2020-03-11",-8
"2020-03-10",-4
"2020-03-09",-1
"2020-03-08",7
"2020-03-07",9
"2020-03-06",2
"2020-03-05",0
"2020-03-04",2
"2020-03-03",1
"2020-03-02",0
"2020-03-01",1
"2020-02-29",1
"2020-02-28",1
"2020-02-27",0
"2020-02-26",0
"2020-02-25",1
"2020-02-24",12
"2020-02-23",8
"2020-02-22",5
"2020-02-21",7
"2020-02-20",1
"2020-02-19",4
"2020-02-18",4
"2020-02-17",8
"2020-02-16",9
