date,value
"2020-04-05",-64
"2020-04-04",-67
"2020-04-03",-69
"2020-04-02",-68
"2020-04-01",-67
"2020-03-31",-69
"2020-03-30",-70
"2020-03-29",-71
"2020-03-28",-66
"2020-03-27",-70
"2020-03-26",-72
"2020-03-25",-73
"2020-03-24",-71
"2020-03-23",-71
"2020-03-22",-75
"2020-03-21",-76
"2020-03-20",-70
"2020-03-19",-67
"2020-03-18",-65
"2020-03-17",-65
"2020-03-16",-59
"2020-03-15",-47
"2020-03-14",-37
"2020-03-13",-25
"2020-03-12",-13
"2020-03-11",-8
"2020-03-10",-5
"2020-03-09",-3
"2020-03-08",1
"2020-03-07",1
"2020-03-06",-3
"2020-03-05",-1
"2020-03-04",0
"2020-03-03",-1
"2020-03-02",-1
"2020-03-01",1
"2020-02-29",1
"2020-02-28",0
"2020-02-27",-1
"2020-02-26",0
"2020-02-25",0
"2020-02-24",6
"2020-02-23",4
"2020-02-22",7
"2020-02-21",12
"2020-02-20",-2
"2020-02-19",1
"2020-02-18",-1
"2020-02-17",2
"2020-02-16",3
