date,value
"2020-03-29",-51
"2020-03-28",-49
"2020-03-27",-60
"2020-03-26",-62
"2020-03-25",-62
"2020-03-24",-61
"2020-03-23",-60
"2020-03-22",-55
"2020-03-21",-54
"2020-03-20",-58
"2020-03-19",-60
"2020-03-18",-58
"2020-03-17",-56
"2020-03-16",-47
"2020-03-15",-26
"2020-03-14",-12
"2020-03-13",-7
"2020-03-12",-4
"2020-03-11",-2
"2020-03-10",0
"2020-03-09",1
"2020-03-08",1
"2020-03-07",1
"2020-03-06",1
"2020-03-05",1
"2020-03-04",1
"2020-03-03",2
"2020-03-02",2
"2020-03-01",2
"2020-02-29",1
"2020-02-28",1
"2020-02-27",1
"2020-02-26",1
"2020-02-25",0
"2020-02-24",1
"2020-02-23",2
"2020-02-22",2
"2020-02-21",1
"2020-02-20",-5
"2020-02-19",-5
"2020-02-18",-5
"2020-02-17",-4
"2020-02-16",-4
