date,value
"2020-04-05",14
"2020-04-04",17
"2020-04-03",20
"2020-04-02",20
"2020-04-01",19
"2020-03-31",18
"2020-03-30",16
"2020-03-29",13
"2020-03-28",15
"2020-03-27",17
"2020-03-26",16
"2020-03-25",15
"2020-03-24",13
"2020-03-23",8
"2020-03-22",7
"2020-03-21",7
"2020-03-20",6
"2020-03-19",6
"2020-03-18",5
"2020-03-17",3
"2020-03-16",2
"2020-03-15",2
"2020-03-14",2
"2020-03-13",0
"2020-03-12",-1
"2020-03-11",-1
"2020-03-10",-1
"2020-03-09",2
"2020-03-08",2
"2020-03-07",0
"2020-03-06",-1
"2020-03-05",-1
"2020-03-04",-1
"2020-03-03",-1
"2020-03-02",-1
"2020-03-01",0
"2020-02-29",-1
"2020-02-28",-2
"2020-02-27",-2
"2020-02-26",-1
"2020-02-25",-1
"2020-02-24",-1
"2020-02-23",-1
"2020-02-22",0
"2020-02-21",-1
"2020-02-20",-3
"2020-02-19",-2
"2020-02-18",-1
"2020-02-17",-1
"2020-02-16",-2
