date,value
"2020-04-05",-44
"2020-04-04",-44
"2020-04-03",-40
"2020-04-02",-42
"2020-04-01",-40
"2020-03-31",-40
"2020-03-30",-40
"2020-03-29",-45
"2020-03-28",-41
"2020-03-27",-36
"2020-03-26",-34
"2020-03-25",-31
"2020-03-24",-30
"2020-03-23",-19
"2020-03-22",-18
"2020-03-21",-17
"2020-03-20",-13
"2020-03-19",-11
"2020-03-18",-7
"2020-03-17",-6
"2020-03-16",-3
"2020-03-15",-2
"2020-03-14",-1
"2020-03-13",0
"2020-03-12",-1
"2020-03-11",-1
"2020-03-10",-2
"2020-03-09",-3
"2020-03-08",0
"2020-03-07",3
"2020-03-06",3
"2020-03-05",1
"2020-03-04",-1
"2020-03-03",0
"2020-03-02",-1
"2020-03-01",1
"2020-02-29",5
"2020-02-28",6
"2020-02-27",3
"2020-02-26",0
"2020-02-25",-1
"2020-02-24",-2
"2020-02-23",0
"2020-02-22",4
"2020-02-21",5
"2020-02-20",3
"2020-02-19",0
"2020-02-18",-1
"2020-02-17",-3
"2020-02-16",-1
