date,value
"2020-03-28",20
"2020-03-27",25
"2020-03-26",27
"2020-03-25",27
"2020-03-24",26
"2020-03-23",24
"2020-03-21",21
"2020-03-20",22
"2020-03-19",21
"2020-03-18",29
"2020-03-17",19
"2020-03-16",13
"2020-03-15",8
"2020-03-14",7
"2020-03-13",3
"2020-03-12",2
"2020-03-11",2
"2020-03-10",2
"2020-03-09",1
"2020-03-08",1
"2020-03-07",1
"2020-03-06",0
"2020-03-05",-1
"2020-03-04",1
"2020-03-03",1
"2020-03-02",0
"2020-03-01",0
"2020-02-29",0
"2020-02-28",-1
"2020-02-27",-2
"2020-02-26",0
"2020-02-25",0
"2020-02-24",4
"2020-02-23",14
"2020-02-22",-4
"2020-02-21",0
"2020-02-20",1
"2020-02-19",1
"2020-02-18",4
"2020-02-17",4
"2020-02-16",6
