date,value
"2020-03-29",-88
"2020-03-28",-50
"2020-03-27",-50
"2020-03-26",-56
"2020-03-25",-57
"2020-03-24",-56
"2020-03-23",-53
"2020-03-22",-67
"2020-03-21",-63
"2020-03-20",-55
"2020-03-19",-52
"2020-03-18",-61
"2020-03-17",-46
"2020-03-16",-31
"2020-03-15",-28
"2020-03-14",-25
"2020-03-13",-15
"2020-03-12",-10
"2020-03-11",-6
"2020-03-10",-3
"2020-03-09",-1
"2020-03-08",1
"2020-03-07",3
"2020-03-06",3
"2020-03-05",2
"2020-03-04",1
"2020-03-03",4
"2020-03-02",3
"2020-03-01",3
"2020-02-29",7
"2020-02-28",6
"2020-02-27",5
"2020-02-26",-1
"2020-02-25",1
"2020-02-24",-1
"2020-02-23",-16
"2020-02-22",11
"2020-02-21",-1
"2020-02-20",7
"2020-02-19",3
"2020-02-18",1
"2020-02-17",-2
"2020-02-16",-1
