date,value
"2020-04-05",-77
"2020-04-04",-78
"2020-04-03",-72
"2020-04-02",-72
"2020-04-01",-71
"2020-03-31",-73
"2020-03-30",-77
"2020-03-29",-88
"2020-03-28",-61
"2020-03-27",-55
"2020-03-26",-61
"2020-03-25",-60
"2020-03-24",-57
"2020-03-23",-60
"2020-03-22",-61
"2020-03-21",-55
"2020-03-20",-47
"2020-03-19",-41
"2020-03-18",-47
"2020-03-17",-33
"2020-03-16",-21
"2020-03-15",-18
"2020-03-14",-19
"2020-03-13",-10
"2020-03-12",-1
"2020-03-11",1
"2020-03-10",0
"2020-03-09",0
"2020-03-08",0
"2020-03-07",0
"2020-03-06",3
"2020-03-05",5
"2020-03-04",5
"2020-03-03",7
"2020-03-02",8
"2020-03-01",4
"2020-02-29",3
"2020-02-28",3
"2020-02-27",5
"2020-02-26",4
"2020-02-25",3
"2020-02-24",6
"2020-02-23",-12
"2020-02-22",16
"2020-02-21",11
"2020-02-20",5
"2020-02-19",27
"2020-02-18",4
"2020-02-17",2
"2020-02-16",-4
