date,value
"2020-03-29",-70
"2020-03-28",-40
"2020-03-27",-26
"2020-03-26",-27
"2020-03-25",-30
"2020-03-24",-26
"2020-03-23",-29
"2020-03-22",-36
"2020-03-21",-29
"2020-03-20",-22
"2020-03-19",-17
"2020-03-18",-14
"2020-03-17",-8
"2020-03-16",-7
"2020-03-15",-3
"2020-03-14",-2
"2020-03-13",-1
"2020-03-12",1
"2020-03-11",1
"2020-03-10",0
"2020-03-09",-4
"2020-03-08",-1
"2020-03-07",2
"2020-03-06",1
"2020-03-05",3
"2020-03-04",2
"2020-03-03",1
"2020-03-02",-1
"2020-03-01",4
"2020-02-29",16
"2020-02-28",9
"2020-02-27",8
"2020-02-26",10
"2020-02-25",7
"2020-02-24",5
"2020-02-23",-1
"2020-02-22",8
"2020-02-21",3
"2020-02-20",2
"2020-02-19",2
"2020-02-18",-6
"2020-02-17",-2
"2020-02-16",-4
