date,value
"2020-03-29",-26
"2020-03-28",-28
"2020-03-27",-34
"2020-03-26",-31
"2020-03-25",-19
"2020-03-24",-15
"2020-03-23",-16
"2020-03-22",-14
"2020-03-21",-14
"2020-03-20",-17
"2020-03-19",-11
"2020-03-18",-4
"2020-03-17",4
"2020-03-16",5
"2020-03-15",5
"2020-03-14",4
"2020-03-13",5
"2020-03-12",5
"2020-03-11",4
"2020-03-10",5
"2020-03-09",6
"2020-03-08",8
"2020-03-07",11
"2020-03-06",2
"2020-03-05",-2
"2020-03-04",6
"2020-03-03",4
"2020-03-02",3
"2020-03-01",4
"2020-02-29",8
"2020-02-28",14
"2020-02-27",14
"2020-02-26",7
"2020-02-25",4
"2020-02-24",2
"2020-02-23",5
"2020-02-22",8
"2020-02-21",11
"2020-02-20",17
"2020-02-19",4
"2020-02-18",3
"2020-02-17",2
"2020-02-16",3
