date,value
"2020-04-11",-25
"2020-04-10",-14
"2020-04-09",-18
"2020-04-08",-24
"2020-04-07",-20
"2020-04-06",-27
"2020-04-05",-36
"2020-04-04",-32
"2020-04-03",-22
"2020-04-02",-27
"2020-04-01",-31
"2020-03-31",-26
"2020-03-30",-29
"2020-03-29",-53
"2020-03-28",-36
"2020-03-27",-22
"2020-03-26",-25
"2020-03-25",-29
"2020-03-24",-22
"2020-03-23",-25
"2020-03-22",-42
"2020-03-21",-40
"2020-03-20",-26
"2020-03-19",-23
"2020-03-18",-15
"2020-03-17",19
"2020-03-16",20
"2020-03-15",-7
"2020-03-14",-11
"2020-03-13",22
"2020-03-12",29
"2020-03-11",12
"2020-03-10",4
"2020-03-09",4
"2020-03-08",2
"2020-03-07",2
"2020-03-06",4
"2020-03-05",3
"2020-03-04",2
"2020-03-03",5
"2020-03-02",6
"2020-03-01",6
"2020-02-29",5
"2020-02-28",3
"2020-02-27",2
"2020-02-26",-2
"2020-02-25",-3
"2020-02-24",1
"2020-02-23",-1
"2020-02-22",-6
"2020-02-21",1
"2020-02-20",3
"2020-02-19",-1
"2020-02-18",1
"2020-02-17",3
"2020-02-16",2
