date,value
"2020-04-11",-20
"2020-04-10",-12
"2020-04-09",-7
"2020-04-08",-3
"2020-04-07",3
"2020-04-06",-16
"2020-04-05",-13
"2020-04-04",-30
"2020-04-03",-37
"2020-04-02",-38
"2020-04-01",-20
"2020-03-31",-18
"2020-03-30",-33
"2020-03-29",-66
"2020-03-28",-38
"2020-03-27",-27
"2020-03-26",-25
"2020-03-25",-19
"2020-03-24",-9
"2020-03-23",-18
"2020-03-22",-20
"2020-03-21",-32
"2020-03-20",-47
"2020-03-19",-26
"2020-03-18",0
"2020-03-17",24
"2020-03-16",14
"2020-03-15",16
"2020-03-14",7
"2020-03-13",-4
"2020-03-12",1
"2020-03-11",0
"2020-03-10",-4
"2020-03-09",1
"2020-03-08",-8
"2020-03-07",6
"2020-03-06",19
"2020-03-05",-6
"2020-03-04",-6
"2020-03-03",8
"2020-03-02",2
"2020-03-01",-9
"2020-02-29",-4
"2020-02-28",-4
"2020-02-27",-2
"2020-02-26",-12
"2020-02-25",4
"2020-02-24",24
"2020-02-23",0
"2020-02-22",-23
"2020-02-21",2
"2020-02-20",14
"2020-02-19",5
"2020-02-18",13
"2020-02-17",18
"2020-02-16",7
