date,value
"2020-04-05",-76
"2020-04-04",-82
"2020-04-03",-79
"2020-04-02",-77
"2020-04-01",-76
"2020-03-31",-75
"2020-03-30",-76
"2020-03-29",-84
"2020-03-28",-83
"2020-03-27",-78
"2020-03-26",-77
"2020-03-25",-76
"2020-03-24",-74
"2020-03-23",-74
"2020-03-22",-78
"2020-03-21",-83
"2020-03-20",-80
"2020-03-19",-76
"2020-03-18",-64
"2020-03-17",-43
"2020-03-16",-33
"2020-03-15",-55
"2020-03-14",-68
"2020-03-13",-31
"2020-03-12",-7
"2020-03-11",-5
"2020-03-10",-4
"2020-03-09",-3
"2020-03-08",-1
"2020-03-07",2
"2020-03-06",2
"2020-03-05",-2
"2020-03-04",-2
"2020-03-03",2
"2020-03-02",0
"2020-03-01",-2
"2020-02-29",-1
"2020-02-28",-3
"2020-02-27",-1
"2020-02-26",-2
"2020-02-25",1
"2020-02-24",9
"2020-02-23",4
"2020-02-22",-6
"2020-02-21",-3
"2020-02-20",0
"2020-02-19",-2
"2020-02-18",3
"2020-02-17",3
"2020-02-16",1
