date,value
"2020-03-29",-22
"2020-03-28",-17
"2020-03-27",-16
"2020-03-26",-20
"2020-03-25",-13
"2020-03-24",-14
"2020-03-23",-12
"2020-03-22",-20
"2020-03-21",-16
"2020-03-20",-15
"2020-03-19",-12
"2020-03-18",-7
"2020-03-17",-5
"2020-03-16",-5
"2020-03-15",-6
"2020-03-14",-3
"2020-03-13",-4
"2020-03-12",-6
"2020-03-11",-5
"2020-03-10",-1
"2020-03-09",-5
"2020-03-08",-9
"2020-03-07",-4
"2020-03-06",-4
"2020-03-05",-6
"2020-03-04",-2
"2020-03-03",1
"2020-03-02",1
"2020-03-01",0
"2020-02-29",1
"2020-02-28",0
"2020-02-27",-2
"2020-02-26",-4
"2020-02-25",-4
"2020-02-24",-4
"2020-02-23",-6
"2020-02-22",-11
"2020-02-21",-7
"2020-02-20",-10
"2020-02-19",-8
"2020-02-18",-5
"2020-02-17",1
"2020-02-16",-2
