date,value
"2020-03-29",-34
"2020-03-28",-37
"2020-03-27",-31
"2020-03-26",-28
"2020-03-25",-27
"2020-03-24",-25
"2020-03-23",-23
"2020-03-22",-29
"2020-03-21",-30
"2020-03-20",-15
"2020-03-19",-11
"2020-03-18",-8
"2020-03-17",-5
"2020-03-16",-3
"2020-03-15",-1
"2020-03-14",-2
"2020-03-13",-3
"2020-03-12",-3
"2020-03-11",-2
"2020-03-10",-1
"2020-03-09",0
"2020-03-08",8
"2020-03-07",11
"2020-03-06",4
"2020-03-05",2
"2020-03-04",2
"2020-03-03",3
"2020-03-02",2
"2020-03-01",4
"2020-02-29",5
"2020-02-28",2
"2020-02-27",1
"2020-02-26",0
"2020-02-25",1
"2020-02-24",4
"2020-02-23",2
"2020-02-22",2
"2020-02-21",1
"2020-02-20",1
"2020-02-19",-2
"2020-02-18",0
"2020-02-17",1
"2020-02-16",2
