date,value
"2020-04-11",-9
"2020-04-10",-19
"2020-04-09",-22
"2020-04-08",-22
"2020-04-07",-21
"2020-04-06",-20
"2020-04-05",-3
"2020-04-04",-10
"2020-04-03",-20
"2020-04-02",-23
"2020-04-01",-23
"2020-03-31",-23
"2020-03-30",-23
"2020-03-29",-3
"2020-03-28",-14
"2020-03-27",-22
"2020-03-26",-22
"2020-03-25",-20
"2020-03-24",-19
"2020-03-23",-15
"2020-03-22",-4
"2020-03-21",-7
"2020-03-20",-10
"2020-03-19",-10
"2020-03-18",-10
"2020-03-17",-9
"2020-03-16",-7
"2020-03-15",0
"2020-03-14",6
"2020-03-13",7
"2020-03-12",5
"2020-03-11",5
"2020-03-10",5
"2020-03-09",-20
"2020-03-08",-19
"2020-03-07",3
"2020-03-06",5
"2020-03-05",4
"2020-03-04",4
"2020-03-03",5
"2020-03-02",5
"2020-03-01",5
"2020-02-29",5
"2020-02-28",5
"2020-02-27",4
"2020-02-26",3
"2020-02-25",3
"2020-02-24",3
"2020-02-23",3
"2020-02-22",0
"2020-02-21",3
"2020-02-20",4
"2020-02-19",3
"2020-02-18",3
"2020-02-17",5
"2020-02-16",5
