date,value
"2020-04-05",8
"2020-04-04",10
"2020-04-03",9
"2020-04-02",9
"2020-04-01",9
"2020-03-31",9
"2020-03-30",10
"2020-03-29",5
"2020-03-28",3
"2020-03-27",2
"2020-03-26",3
"2020-03-25",3
"2020-03-24",5
"2020-03-23",2
"2020-03-22",3
"2020-03-21",2
"2020-03-20",0
"2020-03-19",0
"2020-03-18",0
"2020-03-17",-1
"2020-03-16",-1
"2020-03-15",0
"2020-03-14",0
"2020-03-13",-1
"2020-03-12",-1
"2020-03-11",-1
"2020-03-10",-1
"2020-03-09",0
"2020-03-08",-1
"2020-03-07",-1
"2020-03-06",0
"2020-03-05",1
"2020-03-04",0
"2020-03-03",0
"2020-03-02",0
"2020-03-01",0
"2020-02-29",-1
"2020-02-28",1
"2020-02-27",1
"2020-02-26",1
"2020-02-25",1
"2020-02-24",0
"2020-02-23",1
"2020-02-22",-1
"2020-02-21",0
"2020-02-20",0
"2020-02-19",0
"2020-02-18",1
"2020-02-17",1
"2020-02-16",1
