date,value
"2020-04-11",-23
"2020-04-10",-23
"2020-04-09",-23
"2020-04-08",-21
"2020-04-07",-17
"2020-04-06",-17
"2020-04-05",-23
"2020-04-04",-23
"2020-04-03",-18
"2020-04-02",-19
"2020-04-01",-18
"2020-03-31",-18
"2020-03-30",-18
"2020-03-29",-16
"2020-03-28",-11
"2020-03-27",-9
"2020-03-26",-12
"2020-03-25",-12
"2020-03-24",-17
"2020-03-23",-14
"2020-03-22",-14
"2020-03-21",-10
"2020-03-20",-6
"2020-03-19",-9
"2020-03-18",-8
"2020-03-17",-6
"2020-03-16",-6
"2020-03-15",-4
"2020-03-14",-2
"2020-03-13",0
"2020-03-12",-1
"2020-03-11",-2
"2020-03-10",-3
"2020-03-09",-3
"2020-03-08",0
"2020-03-07",2
"2020-03-06",-3
"2020-03-05",-3
"2020-03-04",1
"2020-03-03",1
"2020-03-02",-1
"2020-03-01",-2
"2020-02-29",-1
"2020-02-28",0
"2020-02-27",-1
"2020-02-26",-1
"2020-02-25",0
"2020-02-24",1
"2020-02-23",0
"2020-02-22",0
"2020-02-21",1
"2020-02-20",0
"2020-02-19",-3
"2020-02-18",-4
"2020-02-17",-2
"2020-02-16",-2
