date,value
"2020-03-29",2
"2020-03-28",0
"2020-03-27",-4
"2020-03-26",-3
"2020-03-25",-2
"2020-03-24",-5
"2020-03-23",-1
"2020-03-22",0
"2020-03-21",1
"2020-03-20",2
"2020-03-19",2
"2020-03-18",4
"2020-03-17",4
"2020-03-16",4
"2020-03-15",2
"2020-03-14",1
"2020-03-13",3
"2020-03-12",4
"2020-03-11",4
"2020-03-10",4
"2020-03-09",4
"2020-03-08",3
"2020-03-07",2
"2020-03-06",2
"2020-03-05",2
"2020-03-04",3
"2020-03-03",2
"2020-03-02",1
"2020-03-01",1
"2020-02-29",0
"2020-02-28",-2
"2020-02-27",-3
"2020-02-26",-3
"2020-02-25",-3
"2020-02-24",-3
"2020-02-23",-2
"2020-02-22",0
"2020-02-21",0
"2020-02-20",1
"2020-02-19",1
"2020-02-18",2
"2020-02-17",1
"2020-02-16",1
