date,value
"2020-04-05",35
"2020-04-04",43
"2020-04-03",40
"2020-04-02",39
"2020-04-01",38
"2020-03-31",38
"2020-03-30",40
"2020-03-29",35
"2020-03-28",43
"2020-03-27",43
"2020-03-26",41
"2020-03-25",39
"2020-03-24",38
"2020-03-23",40
"2020-03-22",31
"2020-03-21",18
"2020-03-20",22
"2020-03-19",20
"2020-03-18",18
"2020-03-17",13
"2020-03-16",13
"2020-03-15",9
"2020-03-14",6
"2020-03-13",5
"2020-03-12",2
"2020-03-11",-1
"2020-03-10",-2
"2020-03-09",-2
"2020-03-08",1
"2020-03-07",1
"2020-03-06",-1
"2020-03-05",-2
"2020-03-04",-1
"2020-03-03",-2
"2020-03-02",-1
"2020-03-01",1
"2020-02-29",4
"2020-02-28",2
"2020-02-27",0
"2020-02-26",1
"2020-02-25",5
"2020-02-24",13
"2020-02-23",10
"2020-02-22",0
"2020-02-21",0
"2020-02-20",-1
"2020-02-19",-1
"2020-02-18",-2
"2020-02-17",-2
"2020-02-16",0
