date,value
"2020-03-29",-93
"2020-03-28",-94
"2020-03-27",-88
"2020-03-26",-88
"2020-03-25",-86
"2020-03-24",-85
"2020-03-23",-86
"2020-03-22",-85
"2020-03-21",-54
"2020-03-20",-55
"2020-03-19",-50
"2020-03-18",-45
"2020-03-17",-35
"2020-03-16",-33
"2020-03-15",-27
"2020-03-14",-17
"2020-03-13",-14
"2020-03-12",-10
"2020-03-11",-6
"2020-03-10",-4
"2020-03-09",-5
"2020-03-08",-3
"2020-03-07",2
"2020-03-06",0
"2020-03-05",-5
"2020-03-04",-4
"2020-03-03",-4
"2020-03-02",-7
"2020-03-01",-9
"2020-02-29",-7
"2020-02-28",-6
"2020-02-27",-10
"2020-02-26",-12
"2020-02-25",-23
"2020-02-24",-38
"2020-02-23",-23
"2020-02-22",-3
"2020-02-21",-1
"2020-02-20",-3
"2020-02-19",0
"2020-02-18",0
"2020-02-17",-2
"2020-02-16",-4
