date,value
"2020-03-29",-92
"2020-03-28",-92
"2020-03-27",-85
"2020-03-26",-86
"2020-03-25",-83
"2020-03-24",-83
"2020-03-23",-84
"2020-03-22",-82
"2020-03-21",-55
"2020-03-20",-52
"2020-03-19",-47
"2020-03-18",-42
"2020-03-17",-36
"2020-03-16",-30
"2020-03-15",-26
"2020-03-14",-18
"2020-03-13",-12
"2020-03-12",-9
"2020-03-11",-8
"2020-03-10",-11
"2020-03-09",-12
"2020-03-08",-10
"2020-03-07",-8
"2020-03-06",-8
"2020-03-05",-8
"2020-03-04",-7
"2020-03-03",-9
"2020-03-02",-12
"2020-03-01",-13
"2020-02-29",-13
"2020-02-28",-12
"2020-02-27",-12
"2020-02-26",-8
"2020-02-25",-12
"2020-02-24",-26
"2020-02-23",-14
"2020-02-22",-4
"2020-02-21",7
"2020-02-20",8
"2020-02-19",0
"2020-02-18",-1
"2020-02-17",-6
"2020-02-16",-5
