date,value
"2020-04-11",-71
"2020-04-10",-86
"2020-04-09",-75
"2020-04-08",-75
"2020-04-07",-76
"2020-04-06",-76
"2020-04-05",-71
"2020-04-04",-83
"2020-04-03",-76
"2020-04-02",-78
"2020-04-01",-78
"2020-03-31",-79
"2020-03-30",-79
"2020-03-29",-72
"2020-03-28",-84
"2020-03-27",-80
"2020-03-26",-81
"2020-03-25",-78
"2020-03-24",-78
"2020-03-23",-77
"2020-03-22",-60
"2020-03-21",-30
"2020-03-20",-28
"2020-03-19",-25
"2020-03-18",-20
"2020-03-17",-16
"2020-03-16",-14
"2020-03-15",-7
"2020-03-14",-2
"2020-03-13",-1
"2020-03-12",10
"2020-03-11",20
"2020-03-10",20
"2020-03-09",19
"2020-03-08",10
"2020-03-07",5
"2020-03-06",14
"2020-03-05",20
"2020-03-04",22
"2020-03-03",20
"2020-03-02",17
"2020-03-01",11
"2020-02-29",3
"2020-02-28",10
"2020-02-27",16
"2020-02-26",12
"2020-02-25",-13
"2020-02-24",-67
"2020-02-23",-51
"2020-02-22",-4
"2020-02-21",-1
"2020-02-20",14
"2020-02-19",17
"2020-02-18",20
"2020-02-17",17
"2020-02-16",16
