date,value
"2020-04-11",-5
"2020-04-10",-37
"2020-04-09",9
"2020-04-08",-6
"2020-04-07",-8
"2020-04-06",-14
"2020-04-05",-24
"2020-04-04",-13
"2020-04-03",-13
"2020-04-02",-17
"2020-04-01",-18
"2020-03-31",-21
"2020-03-30",-25
"2020-03-29",-35
"2020-03-28",-27
"2020-03-27",-26
"2020-03-26",-29
"2020-03-25",-32
"2020-03-24",-33
"2020-03-23",-27
"2020-03-22",-32
"2020-03-21",-19
"2020-03-20",-3
"2020-03-19",2
"2020-03-18",5
"2020-03-17",7
"2020-03-16",6
"2020-03-15",7
"2020-03-14",7
"2020-03-13",7
"2020-03-12",5
"2020-03-11",3
"2020-03-10",4
"2020-03-09",5
"2020-03-08",8
"2020-03-07",12
"2020-03-06",12
"2020-03-05",9
"2020-03-04",5
"2020-03-03",2
"2020-03-02",1
"2020-03-01",1
"2020-02-29",4
"2020-02-28",4
"2020-02-27",3
"2020-02-26",-2
"2020-02-25",-15
"2020-02-24",-24
"2020-02-23",-4
"2020-02-22",7
"2020-02-21",7
"2020-02-20",10
"2020-02-19",6
"2020-02-18",-2
"2020-02-17",-1
"2020-02-16",0
