date,value
"2020-03-29",-71
"2020-03-28",-70
"2020-03-27",-67
"2020-03-26",-68
"2020-03-25",-69
"2020-03-24",-71
"2020-03-23",-66
"2020-03-22",-71
"2020-03-21",-64
"2020-03-20",-48
"2020-03-19",-38
"2020-03-18",-28
"2020-03-17",-20
"2020-03-16",-13
"2020-03-15",-9
"2020-03-14",-4
"2020-03-13",0
"2020-03-12",-1
"2020-03-11",0
"2020-03-10",1
"2020-03-09",1
"2020-03-08",5
"2020-03-07",9
"2020-03-06",8
"2020-03-05",3
"2020-03-04",0
"2020-03-03",-3
"2020-03-02",-5
"2020-03-01",-7
"2020-02-29",-7
"2020-02-28",-3
"2020-02-27",-6
"2020-02-26",-11
"2020-02-25",-21
"2020-02-24",-28
"2020-02-23",-10
"2020-02-22",3
"2020-02-21",-2
"2020-02-20",2
"2020-02-19",1
"2020-02-18",-1
"2020-02-17",-3
"2020-02-16",-2
