date,value
"2020-04-05",-97
"2020-04-04",-98
"2020-04-03",-24
"2020-04-02",-33
"2020-04-01",-37
"2020-03-31",-34
"2020-03-30",-33
"2020-03-29",-34
"2020-03-28",-34
"2020-03-27",-27
"2020-03-26",-29
"2020-03-25",-31
"2020-03-24",-28
"2020-03-23",-20
"2020-03-22",-24
"2020-03-21",-20
"2020-03-20",-4
"2020-03-19",9
"2020-03-18",8
"2020-03-17",12
"2020-03-16",30
"2020-03-15",21
"2020-03-14",12
"2020-03-13",15
"2020-03-12",15
"2020-03-11",10
"2020-03-10",4
"2020-03-09",3
"2020-03-08",1
"2020-03-07",0
"2020-03-06",2
"2020-03-05",2
"2020-03-04",3
"2020-03-03",4
"2020-03-02",7
"2020-03-01",7
"2020-02-29",3
"2020-02-28",5
"2020-02-27",7
"2020-02-26",4
"2020-02-25",0
"2020-02-24",-1
"2020-02-23",0
"2020-02-22",-2
"2020-02-21",-2
"2020-02-20",-1
"2020-02-19",-2
"2020-02-18",-4
"2020-02-17",0
"2020-02-16",0
