date,value
"2020-04-11",-97
"2020-04-10",-97
"2020-04-09",-90
"2020-04-08",-52
"2020-04-07",-47
"2020-04-06",-50
"2020-04-05",-96
"2020-04-04",-97
"2020-04-03",-63
"2020-04-02",-64
"2020-04-01",-65
"2020-03-31",-63
"2020-03-30",-63
"2020-03-29",-67
"2020-03-28",-68
"2020-03-27",-62
"2020-03-26",-65
"2020-03-25",-67
"2020-03-24",-69
"2020-03-23",-50
"2020-03-22",-53
"2020-03-21",-53
"2020-03-20",-45
"2020-03-19",-26
"2020-03-18",-20
"2020-03-17",-17
"2020-03-16",-10
"2020-03-15",-7
"2020-03-14",-4
"2020-03-13",0
"2020-03-12",-1
"2020-03-11",-1
"2020-03-10",-1
"2020-03-09",-1
"2020-03-08",-2
"2020-03-07",-2
"2020-03-06",0
"2020-03-05",0
"2020-03-04",0
"2020-03-03",1
"2020-03-02",2
"2020-03-01",3
"2020-02-29",4
"2020-02-28",6
"2020-02-27",5
"2020-02-26",3
"2020-02-25",2
"2020-02-24",0
"2020-02-23",3
"2020-02-22",1
"2020-02-21",-1
"2020-02-20",-1
"2020-02-19",1
"2020-02-18",0
"2020-02-17",3
"2020-02-16",1
