date,value
"2020-04-05",-96
"2020-04-04",-94
"2020-04-03",-81
"2020-04-02",-82
"2020-04-01",-81
"2020-03-31",-80
"2020-03-30",-82
"2020-03-29",-87
"2020-03-28",-84
"2020-03-27",-81
"2020-03-26",-76
"2020-03-25",-69
"2020-03-24",-57
"2020-03-23",-53
"2020-03-22",-52
"2020-03-21",-40
"2020-03-20",-31
"2020-03-19",-25
"2020-03-18",-17
"2020-03-17",-15
"2020-03-16",-14
"2020-03-15",-11
"2020-03-14",-6
"2020-03-13",-2
"2020-03-12",-1
"2020-03-11",1
"2020-03-10",-2
"2020-03-09",-7
"2020-03-08",-5
"2020-03-07",1
"2020-03-06",3
"2020-03-05",2
"2020-03-04",5
"2020-03-03",4
"2020-03-02",-2
"2020-03-01",0
"2020-02-29",7
"2020-02-28",11
"2020-02-27",5
"2020-02-26",8
"2020-02-25",11
"2020-02-24",5
"2020-02-23",8
"2020-02-22",9
"2020-02-21",15
"2020-02-20",8
"2020-02-19",13
"2020-02-18",22
"2020-02-17",8
"2020-02-16",6
