date,value
"2020-04-05",-76
"2020-04-04",-81
"2020-04-03",-63
"2020-04-02",-63
"2020-04-01",-62
"2020-03-31",-63
"2020-03-30",-62
"2020-03-29",-52
"2020-03-28",-57
"2020-03-27",-62
"2020-03-26",-63
"2020-03-25",-64
"2020-03-24",-63
"2020-03-23",-46
"2020-03-22",-37
"2020-03-21",-35
"2020-03-20",-32
"2020-03-19",-22
"2020-03-18",-17
"2020-03-17",-14
"2020-03-16",-10
"2020-03-15",-2
"2020-03-14",2
"2020-03-13",2
"2020-03-12",1
"2020-03-11",2
"2020-03-10",2
"2020-03-09",1
"2020-03-08",0
"2020-03-07",1
"2020-03-06",2
"2020-03-05",1
"2020-03-04",1
"2020-03-03",1
"2020-03-02",0
"2020-03-01",1
"2020-02-29",1
"2020-02-28",2
"2020-02-27",0
"2020-02-26",0
"2020-02-25",1
"2020-02-24",-1
"2020-02-23",-4
"2020-02-22",0
"2020-02-21",-1
"2020-02-20",-5
"2020-02-19",-3
"2020-02-18",-1
"2020-02-17",1
"2020-02-16",2
