date,value
"2020-03-29",13
"2020-03-28",9
"2020-03-27",7
"2020-03-26",7
"2020-03-25",6
"2020-03-24",6
"2020-03-23",5
"2020-03-22",9
"2020-03-21",5
"2020-03-20",2
"2020-03-19",3
"2020-03-18",4
"2020-03-17",3
"2020-03-16",2
"2020-03-15",3
"2020-03-14",2
"2020-03-13",0
"2020-03-12",1
"2020-03-11",1
"2020-03-10",0
"2020-03-09",0
"2020-03-08",1
"2020-03-07",0
"2020-03-06",-1
"2020-03-05",-1
"2020-03-04",0
"2020-03-03",-1
"2020-03-02",-1
"2020-03-01",-1
"2020-02-29",-2
"2020-02-28",-3
"2020-02-27",-2
"2020-02-26",-1
"2020-02-25",-2
"2020-02-24",0
"2020-02-23",0
"2020-02-22",1
"2020-02-21",-1
"2020-02-20",-2
"2020-02-19",-1
"2020-02-18",-1
"2020-02-17",0
"2020-02-16",0
