date,value
"2020-04-05",-25
"2020-04-04",-20
"2020-04-03",-24
"2020-04-02",-21
"2020-04-01",-20
"2020-03-31",-15
"2020-03-30",-17
"2020-03-29",-7
"2020-03-28",-4
"2020-03-27",-3
"2020-03-26",-3
"2020-03-25",-2
"2020-03-24",-6
"2020-03-23",-9
"2020-03-22",-16
"2020-03-21",-13
"2020-03-20",-3
"2020-03-19",-3
"2020-03-18",-1
"2020-03-17",-2
"2020-03-16",-1
"2020-03-15",-1
"2020-03-14",-6
"2020-03-13",-1
"2020-03-12",2
"2020-03-11",2
"2020-03-10",5
"2020-03-09",5
"2020-03-08",12
"2020-03-07",15
"2020-03-06",11
"2020-03-05",8
"2020-03-04",6
"2020-03-03",6
"2020-03-02",5
"2020-03-01",2
"2020-02-29",1
"2020-02-28",4
"2020-02-27",5
"2020-02-26",5
"2020-02-25",6
"2020-02-24",3
"2020-02-23",4
"2020-02-22",7
"2020-02-21",8
"2020-02-20",8
"2020-02-19",8
"2020-02-18",6
"2020-02-17",4
"2020-02-16",4
