date,value
"2020-03-29",-49
"2020-03-28",-41
"2020-03-27",-34
"2020-03-26",-37
"2020-03-25",-13
"2020-03-24",-16
"2020-03-23",11
"2020-03-22",-9
"2020-03-21",17
"2020-03-20",30
"2020-03-19",20
"2020-03-18",9
"2020-03-17",7
"2020-03-16",9
"2020-03-15",7
"2020-03-14",16
"2020-03-13",25
"2020-03-12",25
"2020-03-11",14
"2020-03-10",6
"2020-03-09",-10
"2020-03-08",-10
"2020-03-07",4
"2020-03-06",3
"2020-03-05",4
"2020-03-04",5
"2020-03-03",1
"2020-03-02",0
"2020-03-01",2
"2020-02-29",5
"2020-02-28",6
"2020-02-27",4
"2020-02-26",4
"2020-02-25",0
"2020-02-24",0
"2020-02-23",-1
"2020-02-22",1
"2020-02-21",0
"2020-02-20",-1
"2020-02-19",0
"2020-02-18",-4
"2020-02-17",-1
"2020-02-16",-2
