date,value
"2020-04-11",-68
"2020-04-10",-87
"2020-04-09",-71
"2020-04-08",-69
"2020-04-07",-69
"2020-04-06",-66
"2020-04-05",-57
"2020-04-04",-57
"2020-04-03",-62
"2020-04-02",-63
"2020-04-01",-53
"2020-03-31",-51
"2020-03-30",-50
"2020-03-29",-42
"2020-03-28",-42
"2020-03-27",-46
"2020-03-26",-48
"2020-03-25",-45
"2020-03-24",-43
"2020-03-23",-32
"2020-03-22",-19
"2020-03-21",-9
"2020-03-20",-4
"2020-03-19",-4
"2020-03-18",-1
"2020-03-17",-1
"2020-03-16",0
"2020-03-15",0
"2020-03-14",2
"2020-03-13",3
"2020-03-12",2
"2020-03-11",3
"2020-03-10",3
"2020-03-09",-32
"2020-03-08",-32
"2020-03-07",-2
"2020-03-06",-1
"2020-03-05",1
"2020-03-04",3
"2020-03-03",3
"2020-03-02",2
"2020-03-01",1
"2020-02-29",2
"2020-02-28",4
"2020-02-27",1
"2020-02-26",1
"2020-02-25",3
"2020-02-24",2
"2020-02-23",1
"2020-02-22",1
"2020-02-21",3
"2020-02-20",1
"2020-02-19",-11
"2020-02-18",3
"2020-02-17",0
"2020-02-16",0
