date,value
"2020-04-05",-25
"2020-04-04",-6
"2020-04-03",2
"2020-04-02",-2
"2020-04-01",-5
"2020-03-31",-2
"2020-03-30",-19
"2020-03-29",-51
"2020-03-28",-19
"2020-03-27",-13
"2020-03-26",-18
"2020-03-25",-19
"2020-03-24",-19
"2020-03-23",-20
"2020-03-22",-45
"2020-03-21",-30
"2020-03-20",-8
"2020-03-19",-8
"2020-03-18",-5
"2020-03-17",0
"2020-03-16",17
"2020-03-15",10
"2020-03-14",9
"2020-03-13",19
"2020-03-12",14
"2020-03-11",5
"2020-03-10",0
"2020-03-09",-1
"2020-03-08",3
"2020-03-07",5
"2020-03-06",2
"2020-03-05",-1
"2020-03-04",-2
"2020-03-03",2
"2020-03-02",2
"2020-03-01",2
"2020-02-29",7
"2020-02-28",6
"2020-02-27",6
"2020-02-26",1
"2020-02-25",2
"2020-02-24",5
"2020-02-23",6
"2020-02-22",15
"2020-02-21",0
"2020-02-20",-1
"2020-02-19",-1
"2020-02-18",-4
"2020-02-17",1
"2020-02-16",-3
