date,value
"2020-04-05",12
"2020-04-04",17
"2020-04-03",25
"2020-04-02",23
"2020-04-01",22
"2020-03-31",23
"2020-03-30",23
"2020-03-29",15
"2020-03-28",17
"2020-03-27",25
"2020-03-26",25
"2020-03-25",23
"2020-03-24",24
"2020-03-23",22
"2020-03-22",16
"2020-03-21",19
"2020-03-20",23
"2020-03-19",22
"2020-03-18",19
"2020-03-17",17
"2020-03-16",12
"2020-03-15",7
"2020-03-14",7
"2020-03-13",6
"2020-03-12",4
"2020-03-11",3
"2020-03-10",3
"2020-03-09",3
"2020-03-08",2
"2020-03-07",1
"2020-03-06",3
"2020-03-05",3
"2020-03-04",2
"2020-03-03",2
"2020-03-02",2
"2020-03-01",2
"2020-02-29",1
"2020-02-28",2
"2020-02-27",2
"2020-02-26",2
"2020-02-25",2
"2020-02-24",1
"2020-02-23",0
"2020-02-22",-1
"2020-02-21",-1
"2020-02-20",1
"2020-02-19",0
"2020-02-18",1
"2020-02-17",1
"2020-02-16",1
