date,value
"2020-03-29",-81
"2020-03-28",-73
"2020-03-27",-69
"2020-03-26",-70
"2020-03-25",-70
"2020-03-24",-69
"2020-03-23",-68
"2020-03-22",-80
"2020-03-21",-78
"2020-03-20",-69
"2020-03-19",-66
"2020-03-18",-63
"2020-03-17",-58
"2020-03-16",-29
"2020-03-15",-24
"2020-03-14",-26
"2020-03-13",-17
"2020-03-12",-12
"2020-03-11",-9
"2020-03-10",-9
"2020-03-09",-9
"2020-03-08",-1
"2020-03-07",1
"2020-03-06",-5
"2020-03-05",-8
"2020-03-04",-8
"2020-03-03",-2
"2020-03-02",-3
"2020-03-01",-3
"2020-02-29",0
"2020-02-28",-4
"2020-02-27",-2
"2020-02-26",-5
"2020-02-25",-3
"2020-02-24",5
"2020-02-23",7
"2020-02-22",12
"2020-02-21",0
"2020-02-20",-1
"2020-02-19",2
"2020-02-18",-3
"2020-02-17",2
"2020-02-16",-2
