date,value
"2020-04-11",-47
"2020-04-10",-61
"2020-04-09",-50
"2020-04-08",-51
"2020-04-07",-50
"2020-04-06",-51
"2020-04-05",-48
"2020-04-04",-51
"2020-04-03",-54
"2020-04-02",-53
"2020-04-01",-52
"2020-03-31",-53
"2020-03-30",-61
"2020-03-29",-68
"2020-03-28",-54
"2020-03-27",-58
"2020-03-26",-60
"2020-03-25",-59
"2020-03-24",-58
"2020-03-23",-59
"2020-03-22",-65
"2020-03-21",-63
"2020-03-20",-57
"2020-03-19",-52
"2020-03-18",-47
"2020-03-17",-43
"2020-03-16",-33
"2020-03-15",-21
"2020-03-14",-23
"2020-03-13",-19
"2020-03-12",-12
"2020-03-11",-8
"2020-03-10",-8
"2020-03-09",-9
"2020-03-08",-3
"2020-03-07",-3
"2020-03-06",-8
"2020-03-05",-9
"2020-03-04",-7
"2020-03-03",-3
"2020-03-02",-4
"2020-03-01",-4
"2020-02-29",-1
"2020-02-28",-5
"2020-02-27",-2
"2020-02-26",-5
"2020-02-25",-3
"2020-02-24",4
"2020-02-23",8
"2020-02-22",13
"2020-02-21",12
"2020-02-20",2
"2020-02-19",4
"2020-02-18",-4
"2020-02-17",3
"2020-02-16",-2
