date,value
"2020-03-29",-21
"2020-03-28",-18
"2020-03-27",-13
"2020-03-26",-9
"2020-03-25",-10
"2020-03-24",-8
"2020-03-23",-6
"2020-03-22",-8
"2020-03-21",-8
"2020-03-20",-4
"2020-03-19",0
"2020-03-18",2
"2020-03-17",9
"2020-03-16",6
"2020-03-15",1
"2020-03-14",-4
"2020-03-13",-3
"2020-03-12",2
"2020-03-11",5
"2020-03-10",6
"2020-03-09",3
"2020-03-08",2
"2020-03-07",2
"2020-03-06",2
"2020-03-05",4
"2020-03-04",5
"2020-03-03",4
"2020-03-02",3
"2020-03-01",3
"2020-02-29",3
"2020-02-28",0
"2020-02-27",0
"2020-02-26",-1
"2020-02-25",-2
"2020-02-24",-1
"2020-02-23",-2
"2020-02-22",0
"2020-02-21",-4
"2020-02-20",-1
"2020-02-19",1
"2020-02-18",0
"2020-02-17",3
"2020-02-16",1
