date,value
"2020-04-11",15
"2020-04-10",20
"2020-04-09",19
"2020-04-08",17
"2020-04-07",16
"2020-04-06",17
"2020-04-05",14
"2020-04-04",14
"2020-04-03",18
"2020-04-02",17
"2020-04-01",17
"2020-03-31",16
"2020-03-30",17
"2020-03-29",14
"2020-03-28",14
"2020-03-27",17
"2020-03-26",16
"2020-03-25",15
"2020-03-24",13
"2020-03-23",10
"2020-03-22",9
"2020-03-21",8
"2020-03-20",8
"2020-03-19",7
"2020-03-18",5
"2020-03-17",3
"2020-03-16",0
"2020-03-15",-1
"2020-03-14",0
"2020-03-13",0
"2020-03-12",0
"2020-03-11",-1
"2020-03-10",-1
"2020-03-09",-1
"2020-03-08",-1
"2020-03-07",-1
"2020-03-06",-1
"2020-03-05",0
"2020-03-04",0
"2020-03-03",-1
"2020-03-02",0
"2020-03-01",-1
"2020-02-29",-1
"2020-02-28",-1
"2020-02-27",0
"2020-02-26",0
"2020-02-25",0
"2020-02-24",0
"2020-02-23",0
"2020-02-22",0
"2020-02-21",1
"2020-02-20",2
"2020-02-19",2
"2020-02-18",1
"2020-02-17",1
"2020-02-16",1
