date,value
"2020-03-29",-9
"2020-03-28",-13
"2020-03-27",-21
"2020-03-26",-21
"2020-03-25",-18
"2020-03-24",-16
"2020-03-23",-12
"2020-03-22",-5
"2020-03-21",-5
"2020-03-20",-7
"2020-03-19",-8
"2020-03-18",-6
"2020-03-17",-5
"2020-03-16",1
"2020-03-15",1
"2020-03-14",-1
"2020-03-13",0
"2020-03-12",2
"2020-03-11",4
"2020-03-10",5
"2020-03-09",5
"2020-03-08",3
"2020-03-07",1
"2020-03-06",1
"2020-03-05",3
"2020-03-04",3
"2020-03-03",4
"2020-03-02",5
"2020-03-01",5
"2020-02-29",4
"2020-02-28",2
"2020-02-27",2
"2020-02-26",2
"2020-02-25",3
"2020-02-24",2
"2020-02-23",2
"2020-02-22",0
"2020-02-21",0
"2020-02-20",-3
"2020-02-19",-3
"2020-02-18",-2
"2020-02-17",-2
"2020-02-16",-2
