date,value
"2020-03-29",-73
"2020-03-28",-68
"2020-03-27",-67
"2020-03-26",-62
"2020-03-25",-63
"2020-03-24",-64
"2020-03-23",-63
"2020-03-22",-70
"2020-03-21",-64
"2020-03-20",-56
"2020-03-19",-52
"2020-03-18",-41
"2020-03-17",-33
"2020-03-16",-23
"2020-03-15",-13
"2020-03-14",-3
"2020-03-13",-2
"2020-03-12",-6
"2020-03-11",-8
"2020-03-10",-5
"2020-03-09",-3
"2020-03-08",1
"2020-03-07",6
"2020-03-06",4
"2020-03-05",0
"2020-03-04",0
"2020-03-03",2
"2020-03-02",5
"2020-03-01",7
"2020-02-29",12
"2020-02-28",10
"2020-02-27",4
"2020-02-26",-2
"2020-02-25",-2
"2020-02-24",-1
"2020-02-23",-1
"2020-02-22",-1
"2020-02-21",-1
"2020-02-20",-3
"2020-02-19",-1
"2020-02-18",0
"2020-02-17",0
"2020-02-16",1
