date,value
"2020-04-05",-27
"2020-04-04",-27
"2020-04-03",-27
"2020-04-02",-25
"2020-04-01",-24
"2020-03-31",-21
"2020-03-30",-20
"2020-03-29",-26
"2020-03-28",-24
"2020-03-27",-20
"2020-03-26",-20
"2020-03-25",-19
"2020-03-24",-23
"2020-03-23",-17
"2020-03-22",-22
"2020-03-21",-19
"2020-03-20",-19
"2020-03-19",-16
"2020-03-18",-12
"2020-03-17",-6
"2020-03-16",-5
"2020-03-15",-7
"2020-03-14",-7
"2020-03-13",-6
"2020-03-12",-6
"2020-03-11",-5
"2020-03-10",-4
"2020-03-09",-4
"2020-03-08",4
"2020-03-07",5
"2020-03-06",-1
"2020-03-05",1
"2020-03-04",1
"2020-03-03",-2
"2020-03-02",-2
"2020-03-01",-1
"2020-02-29",-2
"2020-02-28",-2
"2020-02-27",-2
"2020-02-26",-2
"2020-02-25",-2
"2020-02-24",-4
"2020-02-23",-6
"2020-02-22",-9
"2020-02-21",-6
"2020-02-20",-4
"2020-02-19",-5
"2020-02-18",-4
"2020-02-17",-3
"2020-02-16",-1
