date,value
"2020-04-05",-2
"2020-04-04",-8
"2020-04-03",-17
"2020-04-02",-20
"2020-04-01",-18
"2020-03-31",-17
"2020-03-30",-16
"2020-03-29",-3
"2020-03-28",-6
"2020-03-27",-13
"2020-03-26",-14
"2020-03-25",-14
"2020-03-24",-15
"2020-03-23",-11
"2020-03-22",-5
"2020-03-21",-4
"2020-03-20",-9
"2020-03-19",-8
"2020-03-18",-7
"2020-03-17",0
"2020-03-16",2
"2020-03-15",1
"2020-03-14",0
"2020-03-13",0
"2020-03-12",1
"2020-03-11",2
"2020-03-10",3
"2020-03-09",2
"2020-03-08",6
"2020-03-07",7
"2020-03-06",4
"2020-03-05",3
"2020-03-04",4
"2020-03-03",4
"2020-03-02",4
"2020-03-01",3
"2020-02-29",0
"2020-02-28",0
"2020-02-27",0
"2020-02-26",2
"2020-02-25",2
"2020-02-24",2
"2020-02-23",1
"2020-02-22",-3
"2020-02-21",0
"2020-02-20",1
"2020-02-19",2
"2020-02-18",3
"2020-02-17",2
"2020-02-16",2
