date,value
"2020-04-11",-62
"2020-04-10",-70
"2020-04-09",-64
"2020-04-08",-51
"2020-04-07",-33
"2020-04-06",-36
"2020-04-05",-41
"2020-04-04",-40
"2020-04-03",-29
"2020-04-02",-23
"2020-04-01",-27
"2020-03-31",-27
"2020-03-30",-28
"2020-03-29",-41
"2020-03-28",-33
"2020-03-27",-29
"2020-03-26",-35
"2020-03-25",-36
"2020-03-24",-35
"2020-03-23",-32
"2020-03-22",-40
"2020-03-21",-33
"2020-03-20",-25
"2020-03-19",-17
"2020-03-18",-13
"2020-03-17",-4
"2020-03-16",8
"2020-03-15",7
"2020-03-14",7
"2020-03-13",6
"2020-03-12",1
"2020-03-11",-1
"2020-03-10",2
"2020-03-09",4
"2020-03-08",4
"2020-03-07",4
"2020-03-06",3
"2020-03-05",2
"2020-03-04",2
"2020-03-03",4
"2020-03-02",8
"2020-03-01",11
"2020-02-29",13
"2020-02-28",11
"2020-02-27",4
"2020-02-26",-1
"2020-02-25",-2
"2020-02-24",-1
"2020-02-23",1
"2020-02-22",2
"2020-02-21",1
"2020-02-20",0
"2020-02-19",-1
"2020-02-18",0
"2020-02-17",3
"2020-02-16",5
