date,value
"2020-04-05",-74
"2020-04-04",-73
"2020-04-03",-55
"2020-04-02",-48
"2020-04-01",-49
"2020-03-31",-48
"2020-03-30",-47
"2020-03-29",-68
"2020-03-28",-59
"2020-03-27",-53
"2020-03-26",-54
"2020-03-25",-54
"2020-03-24",-53
"2020-03-23",-50
"2020-03-22",-64
"2020-03-21",-59
"2020-03-20",-50
"2020-03-19",-43
"2020-03-18",-36
"2020-03-17",-28
"2020-03-16",-19
"2020-03-15",-19
"2020-03-14",-13
"2020-03-13",-8
"2020-03-12",-10
"2020-03-11",-12
"2020-03-10",-10
"2020-03-09",-8
"2020-03-08",-6
"2020-03-07",-4
"2020-03-06",-3
"2020-03-05",-4
"2020-03-04",-4
"2020-03-03",-3
"2020-03-02",-1
"2020-03-01",1
"2020-02-29",3
"2020-02-28",4
"2020-02-27",0
"2020-02-26",-6
"2020-02-25",-7
"2020-02-24",-6
"2020-02-23",-4
"2020-02-22",-4
"2020-02-21",-3
"2020-02-20",-5
"2020-02-19",-4
"2020-02-18",-4
"2020-02-17",-3
"2020-02-16",-1
