date,value
"2020-04-11",-47
"2020-04-10",-61
"2020-04-09",-48
"2020-04-08",-48
"2020-04-07",-49
"2020-04-06",-46
"2020-04-05",-48
"2020-04-04",-50
"2020-04-03",-48
"2020-04-02",-47
"2020-04-01",-46
"2020-03-31",-44
"2020-03-30",-42
"2020-03-29",-48
"2020-03-28",-40
"2020-03-27",-37
"2020-03-26",-24
"2020-03-25",-27
"2020-03-24",-26
"2020-03-23",-18
"2020-03-22",-32
"2020-03-21",-20
"2020-03-20",-6
"2020-03-19",-2
"2020-03-18",1
"2020-03-17",0
"2020-03-16",1
"2020-03-15",-8
"2020-03-14",-5
"2020-03-13",-1
"2020-03-12",0
"2020-03-11",-3
"2020-03-10",-5
"2020-03-09",-4
"2020-03-08",-4
"2020-03-07",-4
"2020-03-06",-3
"2020-03-05",-3
"2020-03-04",-2
"2020-03-03",-1
"2020-03-02",0
"2020-03-01",1
"2020-02-29",-3
"2020-02-28",-3
"2020-02-27",-4
"2020-02-26",-10
"2020-02-25",-20
"2020-02-24",6
"2020-02-23",6
"2020-02-22",4
"2020-02-21",2
"2020-02-20",0
"2020-02-19",-2
"2020-02-18",-5
"2020-02-17",-6
"2020-02-16",-5
