date,value
"2020-04-11",-84
"2020-04-10",-88
"2020-04-09",-80
"2020-04-08",-81
"2020-04-07",-85
"2020-04-06",-84
"2020-04-05",-87
"2020-04-04",-86
"2020-04-03",-83
"2020-04-02",-82
"2020-04-01",-83
"2020-03-31",-81
"2020-03-30",-77
"2020-03-29",-88
"2020-03-28",-77
"2020-03-27",-75
"2020-03-26",-55
"2020-03-25",-63
"2020-03-24",-49
"2020-03-23",-46
"2020-03-22",-53
"2020-03-21",-56
"2020-03-20",-45
"2020-03-19",-37
"2020-03-18",-27
"2020-03-17",-20
"2020-03-16",-10
"2020-03-15",-17
"2020-03-14",-21
"2020-03-13",-18
"2020-03-12",-13
"2020-03-11",-14
"2020-03-10",-13
"2020-03-09",-9
"2020-03-08",-11
"2020-03-07",-11
"2020-03-06",-10
"2020-03-05",-9
"2020-03-04",-9
"2020-03-03",-10
"2020-03-02",-5
"2020-03-01",-4
"2020-02-29",-8
"2020-02-28",-9
"2020-02-27",-9
"2020-02-26",-1
"2020-02-25",-13
"2020-02-24",-14
"2020-02-23",-6
"2020-02-22",-7
"2020-02-21",-4
"2020-02-20",-6
"2020-02-19",-4
"2020-02-18",-8
"2020-02-17",-8
"2020-02-16",1
