date,value
"2020-03-29",-40
"2020-03-28",-45
"2020-03-27",-49
"2020-03-26",-38
"2020-03-25",-36
"2020-03-24",-33
"2020-03-23",-28
"2020-03-22",-28
"2020-03-21",-20
"2020-03-20",-8
"2020-03-19",-1
"2020-03-18",1
"2020-03-17",2
"2020-03-16",5
"2020-03-15",-2
"2020-03-14",-2
"2020-03-13",1
"2020-03-12",2
"2020-03-11",3
"2020-03-10",4
"2020-03-09",5
"2020-03-08",3
"2020-03-07",2
"2020-03-06",2
"2020-03-05",2
"2020-03-04",3
"2020-03-03",3
"2020-03-02",3
"2020-03-01",2
"2020-02-29",-1
"2020-02-28",2
"2020-02-27",-1
"2020-02-26",-16
"2020-02-25",-48
"2020-02-24",-22
"2020-02-23",-9
"2020-02-22",-1
"2020-02-21",-7
"2020-02-20",-3
"2020-02-19",0
"2020-02-18",0
"2020-02-17",1
"2020-02-16",0
