date,value
"2020-03-29",-26
"2020-03-28",-19
"2020-03-27",-16
"2020-03-26",-19
"2020-03-25",-20
"2020-03-24",-20
"2020-03-23",-21
"2020-03-22",-28
"2020-03-21",-23
"2020-03-20",-17
"2020-03-19",-20
"2020-03-18",-21
"2020-03-17",-23
"2020-03-16",-16
"2020-03-15",5
"2020-03-14",15
"2020-03-13",14
"2020-03-12",18
"2020-03-11",13
"2020-03-10",14
"2020-03-09",10
"2020-03-08",10
"2020-03-07",12
"2020-03-06",5
"2020-03-05",3
"2020-03-04",2
"2020-03-03",2
"2020-03-02",2
"2020-03-01",5
"2020-02-29",7
"2020-02-28",5
"2020-02-27",7
"2020-02-26",9
"2020-02-25",6
"2020-02-24",5
"2020-02-23",2
"2020-02-22",4
"2020-02-21",6
"2020-02-20",3
"2020-02-19",2
"2020-02-18",1
"2020-02-17",5
"2020-02-16",2
