date,value
"2020-04-11",0
"2020-04-10",-90
"2020-04-09",9
"2020-04-08",10
"2020-04-07",-1
"2020-04-06",-6
"2020-04-05",-13
"2020-04-04",-16
"2020-04-03",-11
"2020-04-02",-11
"2020-04-01",-13
"2020-03-31",-12
"2020-03-30",-15
"2020-03-29",-51
"2020-03-28",-22
"2020-03-27",-15
"2020-03-26",-16
"2020-03-25",-18
"2020-03-24",-18
"2020-03-23",-16
"2020-03-22",-32
"2020-03-21",-26
"2020-03-20",-6
"2020-03-19",-3
"2020-03-18",3
"2020-03-17",9
"2020-03-16",18
"2020-03-15",16
"2020-03-14",11
"2020-03-13",15
"2020-03-12",11
"2020-03-11",4
"2020-03-10",0
"2020-03-09",0
"2020-03-08",11
"2020-03-07",10
"2020-03-06",0
"2020-03-05",0
"2020-03-04",1
"2020-03-03",3
"2020-03-02",6
"2020-03-01",12
"2020-02-29",14
"2020-02-28",7
"2020-02-27",9
"2020-02-26",2
"2020-02-25",0
"2020-02-24",-2
"2020-02-23",-2
"2020-02-22",7
"2020-02-21",-1
"2020-02-20",1
"2020-02-19",-1
"2020-02-18",1
"2020-02-17",2
"2020-02-16",2
