date,value
"2020-04-11",8
"2020-04-10",24
"2020-04-09",22
"2020-04-08",15
"2020-04-07",16
"2020-04-06",16
"2020-04-05",7
"2020-04-04",10
"2020-04-03",19
"2020-04-02",20
"2020-04-01",19
"2020-03-31",17
"2020-03-30",18
"2020-03-29",9
"2020-03-28",10
"2020-03-27",19
"2020-03-26",19
"2020-03-25",19
"2020-03-24",19
"2020-03-23",19
"2020-03-22",10
"2020-03-21",11
"2020-03-20",19
"2020-03-19",20
"2020-03-18",20
"2020-03-17",18
"2020-03-16",17
"2020-03-15",11
"2020-03-14",8
"2020-03-13",13
"2020-03-12",13
"2020-03-11",6
"2020-03-10",2
"2020-03-09",1
"2020-03-08",1
"2020-03-07",0
"2020-03-06",0
"2020-03-05",0
"2020-03-04",0
"2020-03-03",0
"2020-03-02",0
"2020-03-01",0
"2020-02-29",0
"2020-02-28",0
"2020-02-27",-1
"2020-02-26",0
"2020-02-25",1
"2020-02-24",1
"2020-02-23",0
"2020-02-22",0
"2020-02-21",1
"2020-02-20",1
"2020-02-19",1
"2020-02-18",1
"2020-02-17",1
"2020-02-16",1
