date,value
"2020-04-05",-49
"2020-04-04",-53
"2020-04-03",-60
"2020-04-02",-61
"2020-04-01",-58
"2020-03-31",-54
"2020-03-30",-58
"2020-03-29",-60
"2020-03-28",-56
"2020-03-27",-61
"2020-03-26",-59
"2020-03-25",-59
"2020-03-24",-60
"2020-03-23",-60
"2020-03-22",-60
"2020-03-21",-55
"2020-03-20",-61
"2020-03-19",-59
"2020-03-18",-60
"2020-03-17",-56
"2020-03-16",-53
"2020-03-15",-51
"2020-03-14",-41
"2020-03-13",-44
"2020-03-12",-41
"2020-03-11",-21
"2020-03-10",-9
"2020-03-09",-5
"2020-03-08",-2
"2020-03-07",3
"2020-03-06",3
"2020-03-05",-1
"2020-03-04",0
"2020-03-03",0
"2020-03-02",0
"2020-03-01",2
"2020-02-29",5
"2020-02-28",5
"2020-02-27",5
"2020-02-26",2
"2020-02-25",0
"2020-02-24",1
"2020-02-23",1
"2020-02-22",0
"2020-02-21",-3
"2020-02-20",-1
"2020-02-19",-1
"2020-02-18",-2
"2020-02-17",-1
"2020-02-16",-3
