date,value
"2020-04-05",-71
"2020-04-04",-68
"2020-04-03",-64
"2020-04-02",-64
"2020-04-01",-64
"2020-03-31",-64
"2020-03-30",-61
"2020-03-29",-73
"2020-03-28",-71
"2020-03-27",-68
"2020-03-26",-65
"2020-03-25",-63
"2020-03-24",-63
"2020-03-23",-61
"2020-03-22",-69
"2020-03-21",-66
"2020-03-20",-59
"2020-03-19",-49
"2020-03-18",-30
"2020-03-17",-20
"2020-03-16",-9
"2020-03-15",-8
"2020-03-14",-6
"2020-03-13",-5
"2020-03-12",-6
"2020-03-11",-4
"2020-03-10",-4
"2020-03-09",-10
"2020-03-08",-15
"2020-03-07",-6
"2020-03-06",3
"2020-03-05",1
"2020-03-04",1
"2020-03-03",-1
"2020-03-02",-6
"2020-03-01",-9
"2020-02-29",-4
"2020-02-28",4
"2020-02-27",13
"2020-02-26",35
"2020-02-25",0
"2020-02-24",1
"2020-02-23",-2
"2020-02-22",-4
"2020-02-21",4
"2020-02-20",7
"2020-02-19",6
"2020-02-18",2
"2020-02-17",-3
"2020-02-16",-3
