date,value
"2020-03-29",-80
"2020-03-28",-79
"2020-03-27",-78
"2020-03-26",-76
"2020-03-25",-75
"2020-03-24",-74
"2020-03-23",-69
"2020-03-22",-75
"2020-03-21",-74
"2020-03-20",-67
"2020-03-19",-56
"2020-03-18",-32
"2020-03-17",-17
"2020-03-16",-9
"2020-03-15",-17
"2020-03-14",-12
"2020-03-13",-4
"2020-03-12",-4
"2020-03-11",-4
"2020-03-10",-4
"2020-03-09",-5
"2020-03-08",-9
"2020-03-07",-5
"2020-03-06",1
"2020-03-05",0
"2020-03-04",0
"2020-03-03",0
"2020-03-02",0
"2020-03-01",-2
"2020-02-29",-2
"2020-02-28",4
"2020-02-27",-4
"2020-02-26",-12
"2020-02-25",0
"2020-02-24",0
"2020-02-23",-1
"2020-02-22",-5
"2020-02-21",0
"2020-02-20",-1
"2020-02-19",0
"2020-02-18",-3
"2020-02-17",-1
"2020-02-16",0
